_id,record_id,scheme_name,scheme_url,state,business_stage,enterprise_type,sector,eligibility_rule,required_document,is_real_source
69778b6e5dbe0abc98245d86,0d1ed83c-0b95-47ba-85f3-3c482d73df8b,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Extract:,GST Certificate,True
69778b6e5dbe0abc98245d87,4c918200-e506-4763-9100-2c6093829d5a,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Extract:,Udyam Certificate,True
69778b6e5dbe0abc98245d88,a16d4542-90c9-47f0-9795-ff1679c05b07,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Extract:,Bank Statement,True
69778b6e5dbe0abc98245d89,154176b3-9215-4ab0-9cd0-6b56e262fb1d,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Eligibility criteria,GST Certificate,True
69778b6e5dbe0abc98245d8a,55633920-d638-4742-94a8-87b63a38bb43,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Eligibility criteria,Udyam Certificate,True
69778b6e5dbe0abc98245d8b,e019b224-7f28-4817-9bd3-37d37261232b,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Eligibility criteria,Bank Statement,True
69778b6e5dbe0abc98245d8c,0c81ff5c-c734-4de3-a81d-6a09ded0023b,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Required documents,GST Certificate,True
69778b6e5dbe0abc98245d8d,723631e9-33f0-4a97-87ee-a786b394f10a,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Required documents,Udyam Certificate,True
69778b6e5dbe0abc98245d8e,3b0600c1-e720-4744-b0e4-e35f6f90e6c2,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Required documents,Bank Statement,True
69778b6e5dbe0abc98245d8f,9e576ce5-aa0c-478b-bf42-e4b88c1cd56f,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Return as bullet points.,GST Certificate,True
69778b6e5dbe0abc98245d90,2f608750-4905-4f65-9e72-074dcf9bcecb,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Return as bullet points.,Udyam Certificate,True
69778b6e5dbe0abc98245d91,11b85080-7e6a-4edd-a85b-536179a04b44,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,Return as bullet points.,Bank Statement,True
69778b6e5dbe0abc98245d92,8d6bcdcb-bb12-48dc-97e3-c424a9fd2e38,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,GST Certificate,True
69778b6e5dbe0abc98245d93,eb92f00f-5025-452e-a70b-348129342194,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,Udyam Certificate,True
69778b6e5dbe0abc98245d94,58e524c3-0fb7-477b-b4d6-54763ffd93f6,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,Bank Statement,True
69778b6e5dbe0abc98245d95,c7174aea-daf1-4624-be47-5db4b3bb4000,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,TEXT:,GST Certificate,True
69778b6e5dbe0abc98245d96,56c558dc-cebf-45bf-9037-cd5cf0fdd131,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,TEXT:,Udyam Certificate,True
69778b6e5dbe0abc98245d97,eb6bda8c-e6dd-46d7-8b07-97089e45302f,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,TEXT:,Bank Statement,True
69778b6e5dbe0abc98245d98,ba83bfea-4003-49a4-b9c0-756778b2ed50,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,StandupIndia Login Applicaunt Login Applicaant Registration Other Users Home About Us Stand-Up India Scheme facilitate...,GST Certificate,True
69778b6e5dbe0abc98245d99,b257d36c-2fca-4f86-90bd-55046ce2e7a1,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,StandupIndia Login Applicaunt Login Applicaant Registration Other Users Home About Us Stand-Up India Scheme facilitate...,Udyam Certificate,True
69778b6e5dbe0abc98245d9a,28dfcec7-319e-410a-a8f3-93c99a7c3231,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,StandupIndia Login Applicaunt Login Applicaant Registration Other Users Home About Us Stand-Up India Scheme facilitate...,Bank Statement,True
69778b6e5dbe0abc98245d9b,7429fc4c-415e-49cc-a208-dbe55ac46a62,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,GST Certificate,True
69778b6e5dbe0abc98245d9c,935b5efc-c960-4a14-812b-810d0105cfcd,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,Udyam Certificate,True
69778b6e5dbe0abc98245d9d,986cab31-6d5c-4cd4-85b3-aa0b3aab984f,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,,Bank Statement,True
69778b6e5dbe0abc98245d9e,59c9d18e-f437-41d8-9aef-d32b5f9b2177,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,"Communities Stand-up India Scheme facilitates bank loan between ₹10 lakhs and ₹1 crore for Applicants to establish a greenfield enterprise. The Borrower Type Loans to SC/ST and Women Entrepreneurs with at least 51% of the shareholding and controlling stake, either an SC/ST or woman entrepreneur. Salient Features:",GST Certificate,True
69778b6e5dbe0abc98245d9f,2dcaeb13-ced3-4432-aad8-04bd19a57b0d,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,"Communities Stand-up India Scheme facilitates bank loan between ₹10 lakhs and ₹1 crore for Applicants to establish a greenfield enterprise. The Borrower Type Loans to SC/ST and Women Entrepreneurs with at least 51% of the shareholding and controlling stake, either an SC/ST or woman entrepreneur. Salient Features:",Udyam Certificate,True
69778b6e5dbe0abc98245da0,824284e6-c497-42ba-8c27-e5323e1f7611,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,"Communities Stand-up India Scheme facilitates bank loan between ₹10 lakhs and ₹1 crore for Applicants to establish a greenfield enterprise. The Borrower Type Loans to SC/ST and Women Entrepreneurs with at least 51% of the shareholding and controlling stake, either an SC/ST or woman entrepreneur. Salient Features:",Bank Statement,True
69778b6e5dbe0abc98245da1,5b88b66c-a247-4e37-8a7f-750f81a66b25,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Loans of between ₹10 lakhs to ₹1 crore for Applicants.,GST Certificate,True
69778b6e5dbe0abc98245da2,90ad3366-ed06-4451-9f9c-2529881483db,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Loans of between ₹10 lakhs to ₹1 crore for Applicants.,Udyam Certificate,True
69778b6e5dbe0abc98245da3,9a16cb45-9462-4eb7-9015-74a6b9cc63b0,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Loans of between ₹10 lakhs to ₹1 crore for Applicants.,Bank Statement,True
69778b6e5dbe0abc98245da4,613f74ce-58dd-47c6-a29f-0449e8190c5e,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Enterprise loans for setting up a greenfield enterprise.,GST Certificate,True
69778b6e5dbe0abc98245da5,38682523-0ec3-4a44-a917-534a86e83df0,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Enterprise loans for setting up a greenfield enterprise.,Udyam Certificate,True
69778b6e5dbe0abc98245da6,9263eb5c-ba4f-4e84-aaec-0a62cd57ff7b,Stand-Up India,https://www.standupmitra.in/,Tamil Nadu,Idea,Micro,Manufacturing,- Enterprise loans for setting up a greenfield enterprise.,Bank Statement,True
